round_epochs,loss,mean_squared_error,kullback_leibler_divergence,reconstruction_loss_weight,encoder_num_conv_layers,latent_space_dim,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation
100,2.337160110473633,0.05620835,0.14587334,0.0001,6,3,(3, 1),tanh,3,relu
100,2.4037253856658936,0.059993908,0.13422965,0.0001,6,4,(6, 3),tanh,3,softplus
100,0.7050845623016357,0.019298904,0.27106687,0.001,6,3,(6, 1),tanh,3,relu
100,0.6716480851173401,0.026074367,0.028254624,0.01,6,3,(6, 1),elu,3,sigmoid
100,1.2594764232635498,0.031012177,0.07915365,0.01,4,4,(3, 1),relu,6,relu
100,3.8596198558807373,0.09364579,0.22429845,0.001,5,3,(6, 3),relu,3,relu
100,0.3857576847076416,0.012554514,0.02898736,0.0001,4,2,(6, 3),elu,6,sigmoid
100,1.6256773471832275,0.040787343,0.82425153,0.01,5,3,(6, 6),relu,3,softplus
100,5.221491813659668,0.13699955,0.07298333,0.01,6,4,(3, 1),relu,3,sigmoid
100,0.8664592504501343,0.024272937,0.4585707,0.001,4,4,(3, 3),elu,6,relu
100,0.5817249417304993,0.0146423625,0.023153031,0.01,4,3,(3, 3),tanh,3,relu
100,2.3880815505981445,0.060216807,0.16383424,0.01,4,4,(6, 3),relu,6,relu
100,0.3342497646808624,0.010562961,0.052416638,0.0001,6,4,(6, 6),elu,6,relu
100,2.8918232917785645,0.076124944,0.7279767,0.01,4,3,(3, 3),relu,3,softplus
100,4.257254600524902,0.10464101,1.920135,0.001,5,2,(6, 3),relu,6,relu
100,3.0043296813964844,0.07048302,0.15532772,0.01,5,2,(3, 1),relu,6,relu
100,1.5033810138702393,0.037221525,0.12014228,0.001,4,3,(3, 3),tanh,3,sigmoid
100,1.2635153532028198,0.031783428,0.08537132,0.0001,5,4,(3, 3),tanh,6,sigmoid
100,6.727635383605957,0.18031606,0.031123469,0.0001,5,3,(6, 6),relu,6,softplus
100,3.59094500541687,0.09661368,0.010097562,0.0001,4,3,(6, 3),relu,3,sigmoid
100,6.727646350860596,0.18031617,0.031123256,0.001,4,2,(3, 1),relu,3,softplus
100,0.5409359335899353,0.015542257,0.18149494,0.0001,5,2,(6, 6),elu,6,relu
100,0.5064283609390259,0.013937684,0.04604667,0.001,6,2,(6, 3),elu,6,softplus
100,0.7964865565299988,0.0200782,0.28672013,0.001,5,4,(3, 1),elu,3,relu
100,2.393106460571289,0.059642456,0.14301698,0.01,5,2,(6, 1),tanh,3,sigmoid
100,1.1553455591201782,0.031027766,0.054684795,0.01,6,4,(3, 1),tanh,3,sigmoid
100,3.859515428543091,0.093645304,0.22421917,0.0001,4,3,(3, 1),relu,3,relu
100,1.8409640789031982,0.047442652,0.25137508,0.001,4,3,(6, 1),elu,3,relu
100,2.4079716205596924,0.05807835,0.27878726,0.0001,6,4,(3, 3),tanh,6,relu
100,0.41179943084716797,0.012340549,0.022093475,0.0001,5,4,(6, 3),elu,6,softplus
100,1.3475080728530884,0.035600673,0.11439721,0.01,6,2,(6, 1),relu,3,relu
100,1.5823417901992798,0.03708169,0.08964915,0.001,5,2,(3, 1),relu,3,relu
100,0.39068204164505005,0.013033733,0.06062759,0.001,4,4,(6, 6),elu,6,relu
100,2.4961652755737305,0.06393599,0.17055473,0.01,5,3,(6, 1),relu,3,sigmoid
100,0.749596357345581,0.018988872,0.30845514,0.01,4,3,(3, 3),tanh,6,relu
100,1.7969776391983032,0.044521037,0.09393434,0.0001,6,3,(6, 6),tanh,6,relu
100,4.376115322113037,0.10925767,1.915495,0.01,6,4,(6, 6),relu,3,relu
100,0.6569777131080627,0.02091488,0.07532399,0.0001,5,2,(6, 1),relu,6,relu
